level,difficulty,prompt,answer,options
intermediate,hard,"Em Atos 15, a principal questão discutida no Concílio de Jerusalém era:",se os gentios convertidos precisavam ser circuncidados e guardar a Lei de Moisés,se Paulo deveria ser reconhecido como bispo de Roma|se os gentios convertidos precisavam ser circuncidados e guardar a Lei de Moisés|se os cristãos deveriam reconstruir o templo de Jerusalém
intermediate,hard,Qual grupo judaico do primeiro século negava a ressurreição dos mortos?,os saduceus,os essênios|os fariseus|os saduceus
intermediate,hard,Qual apóstolo era chamado de Zelote?,Simão,André|Filipe|Simão
intermediate,hard,"Por que Mateus, Marcos e Lucas são chamados de evangelhos sinóticos?",porque apresentam muitos relatos em perspectiva semelhante,porque foram escritos originalmente pelo mesmo autor|porque narram apenas a última semana de Jesus|porque apresentam muitos relatos em perspectiva semelhante
intermediate,hard,Qual evangelho apresenta de forma mais explícita os sinais de Jesus como estrutura narrativa?,João,Marcos|João|Lucas
intermediate,hard,Qual era a função comum de um publicano no contexto dos evangelhos?,cobrar impostos em nome do poder romano ou de seus representantes,cobrar impostos em nome do poder romano ou de seus representantes|servir como sacerdote auxiliar no templo|copiar manuscritos da Lei nas sinagogas
intermediate,hard,"A tensão entre judeus e samaritanos no tempo de Jesus tinha relação, entre outros fatores, com:","diferenças de culto, identidade étnica e história religiosa","uma disputa entre fariseus e zelotes pelo controle de Roma|a recusa samaritana em aceitar qualquer livro do Pentateuco|diferenças de culto, identidade étnica e história religiosa"
intermediate,hard,Qual cidade era o principal centro do culto samaritano no período do Novo Testamento?,o monte Gerizim,o monte Carmelo|o monte Sião|o monte Gerizim
intermediate,hard,"Em qual cidade os discípulos foram chamados cristãos pela primeira vez, segundo Atos?",Antioquia,Jerusalém|Corinto|Antioquia
intermediate,hard,Qual imperador romano é citado diretamente em Lucas 2 no contexto do recenseamento?,César Augusto,Nero|César Augusto|Domiciano
intermediate,hard,Qual governador romano condenou Jesus à crucificação nos evangelhos?,Pôncio Pilatos,Pôncio Pilatos|Félix|Festo
intermediate,hard,Qual rei aparece em Mateus 2 procurando matar o menino Jesus?,"Herodes, o Grande","Arquelau|Herodes Agripa II|Herodes, o Grande"
intermediate,hard,"Qual cidade é associada ao ministério inicial de Paulo após sua conversão, antes de Jerusalém, em Atos 9?",Damasco,Damasco|Éfeso|Filipos
intermediate,hard,Qual era a profissão de Paulo mencionada em Atos 18?,fabricante de tendas,pescador|coletor de impostos|fabricante de tendas
intermediate,hard,Qual casal acolheu Paulo em Corinto e também era ligado à fabricação de tendas?,Priscila e Áquila,Priscila e Áquila|Ananias e Safira|Filemom e Áfia
intermediate,hard,Qual livro do Novo Testamento registra a visão de Pedro sobre os animais impuros antes da visita a Cornélio?,Atos dos Apóstolos,Atos dos Apóstolos|Hebreus|Gálatas
intermediate,hard,"Cornélio, em Atos 10, é apresentado como:",um centurião gentio temente a Deus,um fariseu convertido de Jerusalém|um escriba ligado ao Sinédrio|um centurião gentio temente a Deus
intermediate,hard,Qual carta de Paulo trata mais diretamente da reconciliação entre um senhor cristão e um escravo fugitivo?,Filemom,2 Tessalonicenses|Filemom|Tito
intermediate,hard,Qual igreja recebeu uma carta de Paulo tratando extensamente da ressurreição em 1 Coríntios 15?,Corinto,Colossos|Filipos|Corinto
intermediate,hard,Qual comunidade recebeu a carta que enfatiza fortemente a justificação pela fé contra a exigência da circuncisão?,Gálatas,Tessalonicenses|Efésios|Gálatas
intermediate,hard,Qual carta de Paulo é marcada pelo tema da alegria apesar da prisão?,Filipenses,Filipenses|1 Timóteo|Romanos
intermediate,hard,Qual evangelho começa apresentando a genealogia de Jesus ligada a Abraão e Davi?,Mateus,João|Marcos|Mateus
intermediate,hard,Qual evangelho inicia com a frase teológica: “No princípio era o Verbo”?,João,Lucas|João|Marcos
intermediate,hard,"Qual evangelho é tradicionalmente associado a uma forte ênfase na ação imediata de Jesus, usando frequentemente expressões como “logo”?",Marcos,João|Marcos|Mateus
intermediate,hard,Qual livro do Novo Testamento foi escrito como continuação de um primeiro relato dirigido a Teófilo?,Atos,Atos|Romanos|Apocalipse
intermediate,hard,Qual livro apresenta as sete igrejas da Ásia Menor em seus capítulos iniciais?,Apocalipse,Apocalipse|Hebreus|Tiago
intermediate,hard,Qual das igrejas do Apocalipse é repreendida por ser “morna”?,Laodiceia,Filadélfia|Laodiceia|Esmirna
intermediate,hard,Qual igreja do Apocalipse recebe elogio por sua fidelidade em meio à pobreza e sofrimento?,Esmirna,Sardes|Esmirna|Laodiceia
intermediate,hard,Qual livro do Novo Testamento enfatiza que a fé sem obras é morta?,Tiago,Judas|1 João|Tiago
intermediate,hard,"Qual carta alerta contra falsos mestres usando exemplos como Caim, Balaão e Corá?",Judas,2 João|Judas|Tito
intermediate,hard,Qual livro apresenta Jesus como sumo sacerdote superior segundo a ordem de Melquisedeque?,Hebreus,Romanos|Efésios|Hebreus
intermediate,hard,Qual personagem do Antigo Testamento é usado em Hebreus como exemplo de sacerdócio anterior à Lei mosaica?,Melquisedeque,Melquisedeque|Zadoque|Eli
intermediate,hard,Qual era a principal função do sumo sacerdote no Dia da Expiação?,entrar no Santo dos Santos para realizar o rito de expiação,entrar no Santo dos Santos para realizar o rito de expiação|ensinar grego aos levitas|coroar o rei de Israel anualmente
intermediate,hard,Qual festa judaica está relacionada ao derramamento do Espírito em Atos 2?,Pentecostes,Hanucá|Purim|Pentecostes
intermediate,hard,Qual evento do Antigo Testamento é frequentemente associado por estudiosos ao Pentecostes em Atos 2?,a entrega da Lei no Sinai,a queda de Jericó|a entrega da Lei no Sinai|a travessia do Jordão
intermediate,hard,Qual festa judaica celebra a libertação do Egito e está por trás do contexto da morte de Jesus?,Páscoa,Páscoa|Tabernáculos|Dia da Expiação
intermediate,hard,Qual festa celebrava a habitação em tendas e lembrava a peregrinação de Israel no deserto?,Tabernáculos,Pentecostes|Tabernáculos|Purim
intermediate,hard,Qual livro narra a instituição da Páscoa no contexto da saída do Egito?,Êxodo,Levítico|Êxodo|Números
intermediate,hard,Qual livro contém a maior parte das leis sacerdotais e rituais de pureza de Israel?,Levítico,Josué|Levítico|Rute
intermediate,hard,Qual livro narra principalmente a peregrinação de Israel no deserto após o Sinai?,Números,1 Samuel|Juízes|Números
intermediate,hard,Qual livro apresenta Moisés recapitulando a Lei antes da entrada de Israel na terra prometida?,Deuteronômio,Deuteronômio|Josué|Levítico
intermediate,hard,Qual livro narra a conquista inicial da terra de Canaã sob liderança de Josué?,Josué,Juízes|Josué|Esdras
intermediate,hard,Qual período bíblico é marcado pela frase “cada um fazia o que parecia certo aos seus próprios olhos”?,o período dos juízes,o período dos juízes|o reinado de Salomão|o retorno do exílio
intermediate,hard,Qual juiz de Israel é associado ao voto precipitado envolvendo sua filha?,Jefté,Gideão|Sansão|Jefté
intermediate,hard,Qual juiz pediu um sinal envolvendo o velo de lã?,Gideão,Débora|Eúde|Gideão
intermediate,hard,Qual mulher é apresentada como juíza e profetisa em Israel?,Débora,Débora|Hulda|Miriã
intermediate,hard,Qual profetisa aconselhou o rei Josias após a descoberta do Livro da Lei?,Hulda,Débora|Ana|Hulda
intermediate,hard,Qual rei de Judá promoveu uma reforma religiosa após a descoberta do Livro da Lei?,Josias,Josias|Acabe|Jeroboão
intermediate,hard,Qual rei de Israel ficou conhecido por instituir bezerros de ouro em Betel e Dã?,Jeroboão I,Josafá|Ezequias|Jeroboão I
intermediate,hard,Qual profeta confrontou Acabe e os profetas de Baal no monte Carmelo?,Elias,Elias|Amós|Eliseu
intermediate,hard,Qual aliança bíblica é marcada pelo sinal do arco-íris?,a aliança com Noé,a aliança davídica|a aliança com Abraão|a aliança com Noé
intermediate,hard,"Qual aliança inclui a promessa de descendência, terra e bênção às nações?",a aliança com Abraão,a aliança com Finéias|a aliança com Levi|a aliança com Abraão
intermediate,hard,Qual aliança está ligada à promessa de uma dinastia permanente para Davi?,a aliança davídica,a aliança davídica|a aliança sinaítica|a aliança com Noé
intermediate,hard,Qual profeta anunciou uma nova aliança escrita no coração?,Jeremias,Jeremias|Obadias|Naum
intermediate,hard,Qual profeta teve a visão do vale de ossos secos?,Ezequiel,Ezequiel|Daniel|Zacarias
intermediate,hard,Qual profeta teve uma visão do Senhor no templo e declarou ser homem de lábios impuros?,Isaías,Ageu|Isaías|Jeremias
intermediate,hard,Qual profeta foi chamado ainda jovem e ouviu que Deus colocaria suas palavras em sua boca?,Jeremias,Malaquias|Amós|Jeremias
intermediate,hard,Qual profeta era pastor e cultivador de sicômoros antes de profetizar contra Israel?,Amós,Oséias|Jonas|Amós
intermediate,hard,Qual profeta é conhecido por casar-se com Gômer como sinal da infidelidade de Israel?,Oséias,Joel|Habacuque|Oséias
intermediate,hard,Qual profeta é enviado a Nínive?,Jonas,Naum|Jonas|Sofonias
intermediate,hard,Qual profeta anuncia a queda de Nínive em tom de juízo?,Naum,Naum|Ageu|Miquéias
intermediate,hard,Qual profeta pergunta por que o justo sofre enquanto o ímpio prospera e termina com um cântico de confiança?,Habacuque,Abdias|Habacuque|Joel
intermediate,hard,Qual profeta conclama o povo reconstruído a considerar seus caminhos por causa da negligência do templo?,Ageu,Ageu|Zacarias|Malaquias
intermediate,hard,Qual profeta pós-exílico contém visões simbólicas e forte esperança messiânica?,Zacarias,Zacarias|Jonas|Amós
intermediate,hard,Qual profeta encerra o cânon do Antigo Testamento cristão protestante com expectativa do dia do Senhor?,Malaquias,Malaquias|Joel|Sofonias
intermediate,hard,Qual profeta denuncia Edom de modo especial?,Obadias,Miquéias|Obadias|Oséias
intermediate,hard,Qual profeta anuncia que o governante de Israel viria de Belém?,Miquéias,Sofonias|Miquéias|Naum
intermediate,hard,"Qual profeta fala do derramamento do Espírito sobre toda carne, texto retomado em Atos 2?",Joel,Joel|Ageu|Malaquias
intermediate,hard,Qual livro apresenta a rainha Ester intercedendo pelo povo judeu na Pérsia?,Ester,Ester|Rute|Neemias
intermediate,hard,Qual livro narra a fidelidade de uma moabita que se torna parte da linhagem de Davi?,Rute,Cânticos|Ester|Rute
intermediate,hard,Qual livro acompanha a reconstrução dos muros de Jerusalém após o exílio?,Neemias,Ageu|Neemias|Esdras
intermediate,hard,Qual livro enfatiza o retorno do exílio e a reconstrução do templo?,Esdras,2 Samuel|Esdras|Josué
intermediate,hard,Qual rei persa permitiu o retorno dos judeus para reconstruir o templo?,Ciro,Ciro|Dario III|Xerxes II
intermediate,hard,Qual império destruiu o Reino do Norte de Israel em 722 a.C.?,Assíria,Babilônia|Assíria|Pérsia
intermediate,hard,Qual império destruiu Jerusalém e levou Judá ao exílio em 586 a.C.?,Babilônia,Grécia|Babilônia|Roma
intermediate,hard,Qual rei babilônico está associado à destruição de Jerusalém em 586 a.C.?,Nabucodonosor,Nabucodonosor|Ciro|Senaqueribe
intermediate,hard,Qual rei assírio cercou Jerusalém nos dias de Ezequias?,Senaqueribe,Nabopolassar|Senaqueribe|Assuero
intermediate,hard,Qual profeta confrontou Davi após o pecado envolvendo Bate-Seba?,Natã,Samuel|Gade|Natã
intermediate,hard,Qual personagem pediu sabedoria a Deus no início de seu reinado?,Salomão,Saul|Roboão|Salomão
intermediate,hard,Qual decisão de Roboão contribuiu para a divisão do reino?,aumentar o peso sobre o povo em vez de aliviar sua carga,aumentar o peso sobre o povo em vez de aliviar sua carga|entregar Jerusalém aos assírios sem resistência|abolir o templo e transferir o culto para Samaria
intermediate,hard,"Após a divisão do reino, qual foi o primeiro rei do Reino do Norte?",Jeroboão I,Jeú|Jeroboão I|Acabe
intermediate,hard,"Após a divisão do reino, qual foi o primeiro rei do Reino do Sul?",Roboão,Ezequias|Josias|Roboão
intermediate,hard,Qual rei de Israel é fortemente associado ao culto a Baal por influência de Jezabel?,Acabe,Jeroboão II|Acabe|Jeú
intermediate,hard,Qual rei de Judá recebeu livramento durante o cerco assírio e é elogiado por sua confiança no Senhor?,Ezequias,Manassés|Acaz|Ezequias
intermediate,hard,"Qual rei de Judá ficou conhecido por sua idolatria extrema, mas aparece arrependido em 2 Crônicas?",Manassés,Josafá|Manassés|Uzias
intermediate,hard,Qual sacerdote instruiu Samuel quando ele ouviu a voz do Senhor ainda menino?,Eli,Zadoque|Abiatar|Eli
intermediate,hard,Qual profeta ungiu Saul e depois Davi como reis?,Samuel,Natã|Elias|Samuel
